1,98000,Å`101000,8330.00,4165.00,9378.60,4689.30,17003.00,8501.50,107.80
2,104000,101000Å`107000,8840.00,4420.00,9952.80,4976.40,18044.00,9022.00,114.40
3,110000,107000Å`114000,9350.00,4675.00,10527.00,5263.50,19085.00,9542.50,121.00
4,118000,114000Å`122000,10030.00,5015.00,11292.60,5646.30,20473.00,10236.50,129.80
5,126000,122000Å`130000,10710.00,5355.00,12058.20,6029.10,21861.00,10930.50,138.60
6,134000,130000Å`138000,11390.00,5695.00,12823.80,6411.90,23249.00,11624.50,147.40
7,142000,138000Å`146000,12070.00,6035.00,13589.40,6794.70,24637.00,12318.50,156.20
8,150000,146000Å`155000,12750.00,6375.00,14355.00,7177.50,26025.00,13012.5,165.00
9,160000,155000Å`165000,13600.00,6800.00,15312.00,7656.00,27760.00,13880.00,176.00
10,170000,165000Å`175000,14450.00,7225.00,16269.00,8134.50,29495.00,14747.50,187.00
11,180000,175000Å`185000,15300.00,7650.00,17226.00,8613.00,31230.00,15615.00,198.00
12,190000,185000Å`195000,16150.00,8075.00,18183.00,9091.50,32965.00,16482.50,209.00
13,200000,195000Å`210000,17000.00,8500.00,19140.00,9570.00,34700.00,17350.00,220.00
14,220000,210000Å`230000,18700.00,9350.00,21054.00,10527.00,38170.00,19085.00,242.00
15,240000,230000Å`250000,20400.00,10200.00,22968.00,11484.00,41640.00,20820.00,264.00
16,260000,250000Å`270000,22100.00,11050.00,24882.00,12441.00,45110.00,22555.00,286.00
17,280000,270000Å`290000,23800.00,11900.00,26796.00,13398.00,48580.00,24290.00,308.00
18,300000,290000Å`310000,25500.00,12750.00,28710.00,14355.00,52050.00,26025.00,330.00
19,320000,310000Å`330000,27200.00,13600.00,30624.00,15312.00,55520.00,27760.00,352.00
20,340000,330000Å`350000,28900.00,14450.00,32538.00,16269.00,58990.00,29495.00,374.00
21,360000,350000Å`370000,30600.00,15300.00,34452.00,17226.00,62460.00,31230.00,396.00
22,380000,370000Å`395000,32300.00,16150.00,36366.00,18183.00,65930.00,32965.00,418.00
23,410000,395000Å`425000,34850.00,17425.00,39237.00,19618.50,71135.00,35567.50,451.00
24,440000,425000Å`455000,37400.00,18700.00,42108.00,21054.00,76340.00,38170.00,484.00
25,470000,455000Å`485000,39950.00,19975.00,44979.00,22489.50,81545.00,40772.50,517.00
26,500000,485000Å`515000,42500.00,21250.00,47850.00,23925.00,86750.00,43375.00,550.00
27,530000,515000Å`545000,45050.00,22525.00,50721.00,25360.50,91955.00,45977.50,583.00
28,560000,545000Å`575000,47600.00,23800.00,53592.00,26796.00,97160.00,48580.00,616.00
29,590000,575000Å`605000,50150.00,25075.00,56463.00,28231.50,102365.00,51182.50,649.00
30,620000,605000Å`635000,52700.00,26350.00,59334.00,29667.00,107570.00,53785.00,682.00
31,650000,635000Å`665000,55250.00,27625.00,62205.00,31102.50,107570.00,53785.00,682.00
32,680000,665000Å`695000,57800.00,28900.00,65076.00,32538.00,107570.00,53785.00,682.00
33,710000,695000Å`730000,60350.00,30175.00,67947.00,33973.50,107570.00,53785.00,682.00
34,750000,730000Å`770000,63750.00,31875.00,71775.00,35887.50,107570.00,53785.00,682.00
35,790000,770000Å`810000,67150.00,33575.00,75603.00,37801.50,107570.00,53785.00,682.00
36,830000,810000Å`855000,70550.00,35275.00,79431.00,39715.50,107570.00,53785.00,682.00
37,880000,855000Å`905000,74800.00,37400.00,84216.00,42108.00,107570.00,53785.00,682.00
38,930000,905000Å`955000,79050.00,39525.00,89001.00,44500.50,107570.00,53785.00,682.00
39,980000,955000Å`,83300.00,41650.00,93786.00,46893.00,107570.00,53785.00,682.00
